name,distance_m,moving_time_s,elapsed_time_s,elevation_change_m,type,date,average_cadence,average_heartrate,max_heartrate,pace_per_mile,distance_mi,id,time_of_day,average_zone,max_zone,ratio_avg_hr_to_max_hr
Evening Run,3402,0 days 00:17:50,1567,40.3,Run,2023-07-28,87.4,146.4,173,0 days 00:08:27.109004739,2.11,,evening,3,5,0.846242774566474
Afternoon Run,6446,0 days 00:31:11,1928,19.4,Run,2023-08-02,88.6,149.3,166,0 days 00:07:46.583541147,4.01,,afternoon,3,4,0.8993975903614458
Evening Run,6872,0 days 00:36:22,2365,37.1,Run,2023-08-04,85.3,147.5,186,0 days 00:08:31.007025761,4.27,,evening,3,5,0.793010752688172
Morning Run,9750,0 days 00:50:51,3210,27.4,Run,2023-08-06,88.1,147.8,157,0 days 00:08:23.465346534,6.06,,morning,3,4,0.9414012738853504
Afternoon Run,3163,0 days 00:15:00,900,-13.3,Run,2023-08-07,87.9,134.5,154,0 days 00:07:36.852791878,1.97,,afternoon,3,4,0.8733766233766234
Night Run,5600,0 days 00:24:53,2337,48.3,Run,2023-08-10,89.8,145.9,173,0 days 00:07:09.022988505,3.48,,night,3,5,0.8433526011560694
Afternoon Run,6859,0 days 00:34:45,2117,13.9,Run,2023-08-13,88.1,144.4,170,0 days 00:08:09.436619718,4.26,,afternoon,3,4,0.8494117647058824
Evening Run,6544,0 days 00:32:31,2009,22.7,Run,2023-08-15,88.0,156.2,176,0 days 00:07:59.361179361,4.07,,evening,4,5,0.8875
Evening Run,12344,0 days 01:02:05,3792,34.5,Run,2023-08-19,88.5,162.3,178,0 days 00:08:05.658409387,7.67,,evening,4,5,0.9117977528089888
Evening Run,16115,0 days 01:31:24,5501,68.2,Run,2023-08-21,86.4,155.5,170,0 days 00:09:07.305389221,10.02,,evening,4,4,0.9147058823529411
Afternoon Run,3150,0 days 00:16:04,967,-4.6,Run,2023-08-23,87.8,140.9,161,0 days 00:08:11.836734693,1.96,,afternoon,3,4,0.8751552795031057
Evening Run,4843,0 days 00:25:23,1527,2.5,Run,2023-08-29,85.7,154.3,167,0 days 00:08:25.980066445,3.01,,evening,4,4,0.9239520958083833
Evening Run,4868,0 days 00:23:50,2003,33.7,Run,2023-08-30,88.1,148.0,165,0 days 00:07:51.947194719,3.03,,evening,3,4,0.896969696969697
Morning Run,16304,0 days 01:23:36,5084,64.6,Run,2023-09-03,88.3,157.7,174,0 days 00:08:15.162882527,10.13,,morning,4,5,0.9063218390804597
Evening Run,3056,0 days 00:15:32,935,8.5,Run,2023-09-08,87.5,151.3,170,0 days 00:08:10.526315789,1.9,,evening,3,4,0.89
Morning Run,13039,0 days 01:05:39,3986,22.2,Run,2023-09-10,88.3,156.3,169,0 days 00:08:06.296296296,8.1,,morning,4,4,0.9248520710059173
Evening Run,8397,0 days 00:45:03,2807,41.5,Run,2023-09-14,86.6,155.5,170,0 days 00:08:37.816091954,5.22,,evening,4,4,0.9147058823529411
Morning Run,19792,0 days 01:44:32,6575,41.5,Run,2023-09-16,88.0,162.6,175,0 days 00:08:29.918699186,12.3,,morning,4,5,0.9291428571428572
Afternoon Run,6067,0 days 00:30:32,1863,26.1,Run,2023-09-21,88.1,149.0,170,0 days 00:08:05.941644562,3.77,,afternoon,3,4,0.8764705882352941
Evening Run,11222,0 days 01:00:11,3614,2.9,Run,2023-09-25,87.1,155.7,167,0 days 00:08:38.077474892,6.97,,evening,4,4,0.9323353293413172
Evening Run,5015,0 days 00:23:43,1423,15.3,Run,2023-09-29,88.3,164.0,176,0 days 00:07:36.089743589,3.12,,evening,4,5,0.9318181818181818
Evening Run,3309,0 days 00:17:06,1434,10.9,Run,2023-10-04,86.4,157.7,175,0 days 00:08:18.058252427,2.06,,evening,4,5,0.901142857142857
Morning Run,2625,0 days 00:12:43,763,14.7,Run,2023-10-15,87.8,151.5,161,0 days 00:07:48.098159509,1.63,,morning,3,4,0.9409937888198758
Evening Run,2287,0 days 00:10:50,972,1.7,Run,2023-10-19,88.2,150.1,176,0 days 00:07:37.746478873,1.42,,evening,3,5,0.852840909090909
Afternoon Run,3106,0 days 00:15:33,946,26.9,Run,2023-10-19,86.4,152.2,166,0 days 00:08:03.419689119,1.93,,afternoon,3,4,0.916867469879518
Afternoon Run,6133,0 days 00:29:02,1751,-20.4,Run,2023-10-22,87.2,157.1,177,0 days 00:07:37.217847769,3.81,,afternoon,4,5,0.8875706214689265
Evening Run,3241,0 days 00:15:51,951,6.2,Run,2023-10-24,87.4,166.4,172,0 days 00:07:53.134328358,2.01,,evening,4,5,0.9674418604651163
